indicator,n_weeks,mean_pct,paper_mean,diff,t_stat,paper_t,sign_ok
sma_3d,366,-1.4556619999499563,-0.89,-0.5656619999499563,-1.5165814652103224,-1.11,True
sma_5d,366,-3.2094407712641058,-2.9,-0.30944077126410585,-3.149308492910751,-3.35,True
sma_10d,366,-3.3329115629765482,-2.37,-0.9629115629765481,-3.3463311576626453,-2.9,True
sma_20d,366,-3.9105005539150444,-3.13,-0.7805005539150445,-3.5790119241509264,-3.8,True
sma_50d,366,-1.904875877268492,-2.49,0.5851241227315083,-2.1874559755292733,-2.88,True
sma_100d,366,-1.0098687792061094,-0.96,-0.04986877920610944,-1.1665169640385442,-1.12,True
sma_200d,366,-0.23366400489150552,0.04,-0.2736640048915055,-0.2530170409609129,0.05,False
macd,366,1.9708693196697742,2.16,-0.18913068033022595,2.3388713870444984,2.5,True
macd_diff_signal,366,3.2197431806106027,2.25,0.9697431806106027,3.1813130873760973,2.46,True
volsma_3d,366,0.06893304439408526,-0.21,0.2789330443940853,0.0991571275772451,-0.34,False
volsma_5d,366,-0.4950919878688238,-0.66,0.16490801213117623,-0.7728247536761338,-1.09,True
volsma_10d,366,0.07283357846468727,-0.16,0.23283357846468727,0.09588764233608117,-0.21,False
volsma_20d,366,-0.2910777496177,-0.81,0.5189222503823001,-0.380033348074848,-1.03,True
volsma_50d,366,-1.382832371770133,-1.58,0.1971676282298671,-1.347993517073398,-2.2,True
volsma_100d,366,-0.8163697464106775,-1.68,0.8636302535893224,-0.9493936203889586,-2.12,True
volsma_200d,366,-0.5990938959209615,-1.54,0.9409061040790385,-0.6799301814186336,-2.03,True
volmacd,366,2.286943719846961,2.01,0.2769437198469613,2.1533394028695567,2.38,True
volmacd_diff_signal,366,1.0408831377439407,0.39,0.6508831377439407,1.032428058400457,0.46,True
rsi,366,3.395137464312054,3.52,-0.12486253568794581,5.131360548473211,5.41,True
stochRSI,307,3.0302428709400853,1.3,1.7302428709400852,3.4584463787328166,1.78,True
stochK,363,3.4248813130465905,3.96,-0.5351186869534095,4.368630561951292,5.73,True
stochD,363,2.415151223871249,2.89,-0.4748487761287512,3.0195275343235912,4.06,True
boll_low,366,-1.8311474473391753,-2.08,0.24885255266082473,-1.9596728790270628,-2.28,True
boll_mid,366,-4.30126775098402,-3.5,-0.80126775098402,-3.887033140981149,-4.25,True
boll_high,366,-2.303516355364296,-2.41,0.10648364463570426,-2.7788778642885803,-3.01,True
boll_width,366,0.7112434549515446,0.67,0.04124345495154458,0.7472716637208052,0.72,True
cci,363,4.509324241929978,3.8,0.7093242419299779,4.460416902127542,5.03,True
chaikin,363,1.2494504157884132,1.12,0.1294504157884131,1.7643434751936333,1.68,True
