target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
372,202108,73,7,6 15 17 19 20 24 26,0.0032388442519831677,-7045.669064962708,2123
373,202109,74,9,6 15 16 17 18 19 20 24 26,0.002255452303459819,-7117.401346000681,2175
374,202110,76,10,5 6 15 16 17 18 19 20 24 26,0.0017545999681037499,-7208.772234726702,2226
375,202111,77,8,0 5 15 17 19 20 24 26,0.0015571970139238937,-7235.214565256018,2279
376,202112,85,10,0 5 12 15 16 17 19 20 24 26,0.0020398962613046635,-7386.870498464708,2333
377,202113,86,9,5 15 16 17 18 19 20 24 26,0.0019734502038139365,-7563.02920363351,2395
378,202114,91,9,5 15 16 17 18 19 20 24 26,0.0018171042419174307,-7724.5831881602135,2458
379,202115,94,8,5 16 17 18 19 20 24 26,0.0020563864761307246,-7936.411509713851,2526
380,202116,95,7,5 17 18 19 20 24 26,0.0019346509467938135,-8083.555146260483,2597
381,202117,96,7,5 17 18 19 20 24 26,0.0020601536977832876,-8331.67777748591,2669
382,202118,96,10,1 5 16 17 18 19 20 24 25 26,0.0010963623455503644,-8584.683270619158,2742
383,202119,96,9,1 5 17 18 19 20 24 25 26,0.0009692597108508015,-8638.817814056514,2815
384,202120,96,10,1 5 12 17 18 19 20 24 25 26,0.001295099760107864,-8890.940721203064,2888
385,202121,97,8,1 17 18 19 20 24 25 26,0.0013842012124137182,-9163.150081026124,2961
386,202122,97,8,1 17 18 19 20 24 25 26,0.001411861475397811,-9435.996115806502,3035
387,202123,97,8,1 17 18 19 20 24 25 26,0.0015900114046802016,-9719.178902774627,3109
388,202124,97,8,1 17 18 19 20 24 25 26,0.0015473053382111138,-10008.31083469761,3182
389,202125,98,9,1 16 17 18 19 20 24 25 26,0.001152028619912927,-10297.850740297272,3255
390,202126,98,8,1 17 18 19 20 24 25 26,0.001230541549535712,-10595.791340884838,3328
391,202127,98,7,17 18 19 20 24 25 26,0.001775754182683214,-10861.027562736303,3399
392,202128,98,8,16 17 18 19 20 24 25 26,0.0014393373090089367,-11082.919325420717,3469
393,202129,98,8,12 16 17 18 19 20 24 26,0.0013783467786966223,-11312.222748340093,3537
