target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
56,201504,23,13,1 2 6 7 8 9 11 13 20 22 24 26 27,0.0023153434376158985,-3766.8905033672077,1265
57,201505,25,11,1 2 7 9 11 13 20 22 24 26 27,0.0026251196727879603,-3784.1404443679403,1267
58,201506,21,12,1 2 3 7 9 11 13 20 22 24 26 27,0.0020325101625221394,-3774.3708367672893,1267
59,201507,23,13,1 2 3 7 9 11 13 14 20 22 24 26 27,0.00223731643142032,-3768.5950236152526,1266
60,201508,24,13,1 2 3 6 7 9 11 13 20 22 24 26 27,0.0020669498249665796,-3773.369368836118,1267
61,201509,24,14,1 2 3 6 7 9 11 13 14 20 22 24 26 27,0.001633231633842743,-3773.6357185821576,1268
62,201510,25,14,1 2 3 6 7 9 11 13 14 20 22 24 26 27,0.001058997203549486,-3735.911223335252,1272
63,201511,25,13,1 2 3 7 9 11 13 14 20 22 24 26 27,0.0015933407054547176,-3741.6686967209043,1277
64,201512,24,14,1 2 3 5 7 9 11 13 14 20 22 24 26 27,0.0006997328946546994,-3746.5958973316083,1280
65,201513,22,14,1 2 3 6 7 9 11 13 14 20 22 24 26 27,0.0009425382001033761,-3749.2061969888337,1280
66,201514,24,13,1 2 3 7 11 13 14 20 22 24 25 26 27,0.002533486806793582,-3742.888263682497,1279
67,201515,25,14,1 3 7 8 10 11 13 14 20 22 24 25 26 27,0.0025380574677935828,-3741.002637243254,1280
68,201516,23,13,1 3 5 7 8 11 13 14 20 22 24 26 27,0.003490241193511969,-3812.7648736344518,1279
69,201517,24,14,1 3 6 7 8 11 13 14 20 22 24 25 26 27,0.002714324478368956,-3831.2828016390736,1276
70,201518,23,15,1 3 6 7 8 9 11 13 14 20 22 24 25 26 27,0.001935961604208317,-3863.2372751536122,1274
71,201519,24,15,1 3 6 7 8 9 11 13 14 20 22 24 25 26 27,0.0012704348003670617,-3862.2853191826416,1273
72,201520,25,14,1 3 7 8 9 11 13 14 20 22 24 25 26 27,0.0027239838441970618,-3877.380171038227,1272
73,201521,25,10,7 8 9 11 14 22 24 25 26 27,0.00456367690280235,-3778.0626001216638,1271
74,201522,29,12,3 7 8 9 11 14 20 22 24 25 26 27,0.0031533708113199847,-3779.0966677562305,1271
75,201523,30,9,7 8 9 11 14 22 24 26 27,0.004706597755916167,-3792.22651821667,1274
76,201524,30,12,3 7 8 9 11 14 19 20 22 24 26 27,0.00231917741734127,-3671.576943297348,1278
77,201525,37,10,3 8 9 11 14 20 22 23 26 27,0.00493080040310489,-3670.4334550545236,1284
78,201526,33,10,3 8 9 11 14 20 22 23 26 27,0.004766346730136864,-3705.1880980193537,1291
79,201527,34,10,3 8 9 11 14 20 22 23 26 27,0.004127428281361539,-3722.886585457141,1295
80,201528,34,8,9 11 13 14 22 23 26 27,0.0047912382955288685,-3769.2246109029693,1299
81,201529,32,8,9 11 13 14 22 23 26 27,0.004172834587492214,-3765.6116786386688,1300
82,201530,34,8,9 11 13 14 22 23 26 27,0.003985075275402489,-3795.237588155635,1302
83,201531,32,8,9 11 13 14 22 23 26 27,0.004082725498294056,-3813.6153166866675,1307
84,201532,34,9,9 11 13 14 20 22 23 26 27,0.0032942314595775938,-3848.29827230479,1314
85,201533,32,8,9 13 14 20 22 23 26 27,0.005980547118348137,-3909.3841053088277,1319
