config,n,mean_pct,sd_pct,sharpe,max_dd_pct,hit_pct,diff_mean_pct,diff_sharpe,t_paired,p_raw,q_BH,bonferroni_pass,diff_sr_haircut_M8,diff_sr_haircut_M31,diff_sr_haircut_M316,tune_mean_pct,mde_pct,mde_realized_pct
C0 baseline,133,0.521925373264504,7.529055438879856,0.4998844039726774,-62.108474295509694,61.65413533834586,0.0,,,,,False,,,,1.8539006788323726,,
C1 shortable+cap,125,-0.2923182902516247,5.538312063824208,-0.38061003862264564,-66.40797882203395,53.6,-0.8596555142979183,-1.2584526715348525,-1.9511480388363225,0.9733526954637435,0.9733526954637435,False,,,,-0.5983231272577343,1.769,1.506
C2 vol-target,133,0.2556072861459885,5.422437321465468,0.3399228509044286,-49.15802076895057,61.65413533834586,-0.2663180871185154,-0.7616253398255229,-1.218051170842791,0.887311372307781,0.9733526954637435,False,,,,1.6887391147901765,0.395,0.747
C3 turnover,133,0.529900345903076,6.9750544273449275,0.5478331066634883,-55.55079671475218,59.3984962406015,0.007974972638571942,0.02461718117950201,0.039369733109734316,0.48432754656422694,0.9733526954637435,False,7.837443033263741e-13,7.837443033263741e-13,7.837443033263741e-13,1.496243313433556,0.474,0.692
C4 beta-hedge,133,0.521925373264504,7.529055438879856,0.4998844039726774,-62.108474295509694,61.65413533834586,0.0,,,,,False,,,,1.8730967574904611,0.042,0.0
C5 stability,133,0.6106666753582586,7.416695581987357,0.5937388115453264,-52.16314940452814,61.65413533834586,0.08874130209375453,0.28608043927011056,0.4575223483084285,0.32402390418214067,0.9733526954637435,False,7.837443033263741e-13,7.837443033263741e-13,7.837443033263741e-13,1.836537396625269,0.489,0.663
C6 capacity,133,0.5029859681289943,5.954293660712725,0.6091542682531734,-48.257170929813384,53.383458646616546,-0.018939405135509582,-0.02137927014223383,-0.03419141100856473,0.513611917771079,0.9733526954637435,False,,,,1.2030050836198802,1.647,1.893
C7 C1+C6,125,-0.2962974452365928,5.355711283136476,-0.39894444457949896,-55.98017891495745,48.0,-0.8636346692828869,-0.6806323981046885,-1.0552757356466438,0.8533245058604291,0.9733526954637435,False,,,,-0.11559786036958916,1.552,2.797
C8 stack,121,-0.7511396285171729,5.670453895871777,-0.9552224549866548,-70.79180081577329,47.93388429752066,-1.2428624934070078,-0.9479173414629366,-1.4459773221156684,0.9246048423809382,0.9733526954637435,False,,,,-0.33188859806944593,1.539,2.938
C9 stack+hedge,121,-0.8499894239444248,5.223349553980274,-1.173454091081608,-74.76609630346607,49.586776859504134,-1.3417122888342596,-1.2290367420044321,-1.8748040353841557,0.9683746286905345,0.9733526954637435,False,,,,-0.3531162371418127,1.581,2.446
